Open,High,Low,Close,Volume,TradingDate
76646.0,77420.0,74788.0,75330.0,2136200,2021-08-23
76801.0,76801.0,74710.0,75097.0,1069100,2021-08-24
75097.0,76646.0,74943.0,75485.0,1069200,2021-08-25
75717.0,76646.0,74943.0,74943.0,1076900,2021-08-26
74323.0,76259.0,74323.0,75717.0,1106600,2021-08-27
76181.0,76955.0,75717.0,76878.0,1221700,2021-08-30
77033.0,77343.0,76104.0,76955.0,747500,2021-08-31
76955.0,77343.0,74323.0,76955.0,907500,2021-09-01
76955.0,77497.0,76955.0,77420.0,905000,2021-09-06
77343.0,78039.0,77265.0,77420.0,1041800,2021-09-07
77420.0,77497.0,74943.0,77188.0,863000,2021-09-08
77188.0,77497.0,76336.0,76878.0,817200,2021-09-09
77265.0,77265.0,76336.0,76801.0,857800,2021-09-10
76491.0,76646.0,75949.0,75949.0,1043100,2021-09-13
75949.0,76259.0,75097.0,76104.0,1230500,2021-09-14
76104.0,76104.0,75175.0,75175.0,798500,2021-09-15
76568.0,76568.0,75485.0,75949.0,570400,2021-09-16
75485.0,76181.0,75252.0,75252.0,1002200,2021-09-17
75330.0,78194.0,75330.0,77110.0,1277900,2021-09-20
77033.0,77265.0,75872.0,75872.0,862000,2021-09-21
76181.0,77033.0,75872.0,77033.0,362800,2021-09-22
77110.0,77730.0,76259.0,77033.0,676000,2021-09-23
77033.0,77265.0,76878.0,77033.0,454700,2021-09-24
77033.0,77188.0,75872.0,75872.0,465500,2021-09-27
75717.0,76878.0,75485.0,76801.0,484500,2021-09-28
77033.0,77033.0,75485.0,76259.0,565000,2021-09-29
76259.0,76336.0,75175.0,75252.0,1199900,2021-09-30
75330.0,76026.0,74168.0,74246.0,1611900,2021-10-01
74323.0,74710.0,73084.0,73239.0,913400,2021-10-04
73626.0,74401.0,73626.0,74014.0,973700,2021-10-05
74014.0,74014.0,73394.0,74014.0,691200,2021-10-06
74014.0,74943.0,73549.0,74943.0,797200,2021-10-07
74788.0,75097.0,74014.0,75097.0,697000,2021-10-08
75097.0,76181.0,74943.0,75485.0,1096000,2021-10-11
76104.0,76104.0,75097.0,75097.0,761100,2021-10-12
75794.0,75872.0,75097.0,75097.0,1426300,2021-10-13
75097.0,75252.0,74246.0,74865.0,1784700,2021-10-14
74943.0,75330.0,74710.0,74710.0,731500,2021-10-15
74555.0,75097.0,73549.0,74323.0,1247900,2021-10-18
74401.0,74710.0,73704.0,74633.0,836300,2021-10-19
74633.0,74865.0,72775.0,73549.0,1561000,2021-10-20
73859.0,74323.0,72775.0,72775.0,1226100,2021-10-21
73549.0,73549.0,72775.0,73007.0,240000,2021-10-22
74246.0,74246.0,72852.0,72852.0,800600,2021-10-25
72852.0,73239.0,72465.0,72775.0,632000,2021-10-26
73239.0,74710.0,73007.0,74401.0,1428600,2021-10-27
74788.0,75794.0,74401.0,75794.0,1772600,2021-10-28
75330.0,76181.0,75020.0,75872.0,1263800,2021-10-29
75949.0,76026.0,75097.0,75097.0,1057500,2021-11-01
75407.0,75872.0,75330.0,75794.0,808300,2021-11-02
75639.0,76491.0,75330.0,76414.0,1830000,2021-11-03
76414.0,76491.0,75252.0,76181.0,989400,2021-11-04
75485.0,76646.0,75097.0,75485.0,1126300,2021-11-05
75949.0,76181.0,75485.0,76026.0,1184200,2021-11-08
75872.0,76336.0,75097.0,75175.0,1377600,2021-11-09
75175.0,76026.0,74943.0,75562.0,857100,2021-11-10
75717.0,76878.0,75097.0,76104.0,1115600,2021-11-11
76104.0,76104.0,75485.0,76026.0,614800,2021-11-12
76104.0,76646.0,75252.0,75639.0,766700,2021-11-15
75639.0,76259.0,75097.0,75252.0,706300,2021-11-16
75252.0,75949.0,75252.0,75872.0,788300,2021-11-17
76104.0,76104.0,75097.0,75097.0,709700,2021-11-18
75252.0,75794.0,75175.0,75175.0,413000,2021-11-19
75330.0,76568.0,75175.0,76491.0,1017300,2021-11-22
76646.0,76723.0,76026.0,76723.0,549200,2021-11-23
76801.0,81756.0,76801.0,81136.0,1883300,2021-11-24
81291.0,83614.0,80981.0,82917.0,1473200,2021-11-25
82607.0,83768.0,80517.0,81291.0,879600,2021-11-26
79975.0,81214.0,78194.0,78272.0,851000,2021-11-29
80517.0,80517.0,76568.0,76568.0,1336500,2021-11-30
76955.0,78581.0,76104.0,76646.0,551500,2021-12-01
77652.0,78039.0,76491.0,76723.0,787700,2021-12-02
76801.0,78039.0,75485.0,75872.0,795900,2021-12-03
75872.0,77420.0,73859.0,73859.0,1008600,2021-12-06
74401.0,76955.0,74401.0,76026.0,820000,2021-12-07
75872.0,76955.0,75872.0,76414.0,507500,2021-12-08
75407.0,76955.0,75330.0,76801.0,805400,2021-12-09
78194.0,79588.0,77343.0,77420.0,1881200,2021-12-10
78968.0,78968.0,76801.0,77110.0,1038000,2021-12-13
77110.0,77807.0,76723.0,76878.0,862300,2021-12-14
77033.0,77962.0,76646.0,77343.0,732300,2021-12-15
78039.0,78039.0,75949.0,76723.0,1047100,2021-12-16
77420.0,77420.0,74710.0,74710.0,3475700,2021-12-17
76259.0,77033.0,75949.0,77033.0,736900,2021-12-20
76646.0,77265.0,76259.0,76568.0,774100,2021-12-21
77000.0,77800.0,76600.0,76900.0,1915300,2021-12-22
77500.0,78900.0,76500.0,76500.0,1489000,2021-12-23
76800.0,78500.0,76800.0,78500.0,849400,2021-12-24
78900.0,80300.0,77900.0,79800.0,934100,2021-12-27
80000.0,81000.0,78000.0,80000.0,1168800,2021-12-28
79500.0,79800.0,79100.0,79500.0,440000,2021-12-29
79800.0,79900.0,77700.0,78400.0,920300,2021-12-30
79000.0,79200.0,78400.0,78800.0,422000,2021-12-31
79000.0,79400.0,78000.0,79000.0,1133800,2022-01-04
79000.0,80400.0,78000.0,78000.0,1603100,2022-01-05
78600.0,79900.0,77900.0,79100.0,1215600,2022-01-06
79600.0,79900.0,78200.0,79800.0,966200,2022-01-07
79700.0,79900.0,78500.0,79500.0,1097000,2022-01-10
80000.0,80000.0,78500.0,79400.0,952700,2022-01-11
79400.0,80000.0,78000.0,80000.0,1801500,2022-01-12
80500.0,84400.0,80200.0,81900.0,2532800,2022-01-13
81900.0,83400.0,81000.0,83400.0,1522100,2022-01-14
83000.0,88000.0,82300.0,86200.0,2628500,2022-01-17
85500.0,87600.0,84000.0,87600.0,1696600,2022-01-18
87500.0,87500.0,85000.0,86800.0,914800,2022-01-19
85200.0,87500.0,83100.0,87100.0,2794300,2022-01-20
86900.0,90000.0,86100.0,89200.0,2502300,2022-01-21
89400.0,93500.0,88200.0,93000.0,2728300,2022-01-24
92500.0,96000.0,89000.0,95800.0,2396600,2022-01-25
95800.0,95800.0,92600.0,94500.0,2523500,2022-01-26
93000.0,94500.0,90400.0,91000.0,1732900,2022-01-27
91000.0,92000.0,89000.0,89000.0,2055700,2022-01-28
90600.0,92900.0,89500.0,92400.0,1620800,2022-02-07
92400.0,92400.0,90100.0,92000.0,1146400,2022-02-08
91200.0,91900.0,90300.0,90800.0,1582900,2022-02-09
91100.0,93400.0,91000.0,91300.0,1827200,2022-02-10
